Wallet Address,Purchase Count
0xb4e47Df51111f09902a8f9e85cCEe0eF2D75b137,2
0x92691844495FF2Dbf33878481857a0B010Bf395b,1
0xB3999f2b6DE60EB560557Eb1D4bd51761Fac72e6,1
0xB38834C6F0F250D0040dd11251b07F087330d278,1
0xeABc370bA36BA36c555433953293e51A3C5f366e,1
0xa8383b3c1d5BcE39504ba2a0f65E498c7FB7F162,25
0xc4021604D4d98001e7ce4De0e79f27d7E9A8A5bf,3
0xbE9168CC6d445C79E8268eb54D08736D6836032c,1
0xa6F8B7c8C51DDDa6A3f032069F78624d441b8ab9,1
0x95115EF6B73B18656E74e0CBfa743A20E092AC89,1
0x29876c01F8662eFB483A3E8311edC0eF00FBDd59,1
0xe7ecf8145DD949B9250374e9DDE1Cf7Bb213f468,2
0x60C8D39398990B895Ce6742D5B044F8453A19B1f,6
0xffFaa3BF5Fb47DD3a50A8F8440a1A0ed4A6433F9,1
0x740fCA9dbf4bc9b19a0Fe2246BddC5d7B1ae5c87,1
0x7F7189181F3571420dB3e665A2131a573A4ce0A8,1
0xb02698a3f24619FFa6ADFaf0A3b9Ed7C1719B951,2
0x2604d1e346112483E5897B389B18BBbdE3382f54,2
0x9B92570160a83d56F69624aC42992f448cADD11A,1
0xe52dF4BF3c9d318b7A20eC25BfccDE079C8BD621,8
0x56DbA33FbBcC84D70047CDDc78495b8E63E9c62d,1
0x00D1B034fac6F3e13E81EfE037eF26d0745892C2,2
0x47f94679031bc67542B778629d71Ab51e2EE1fDE,1
0xb713F925B27499f5fB3b3748De8d69f7e14608d9,1
0xa1Ef9f2CDA7478C47F3a106DFE73Ed0e20DaD606,1
0x49772Bc7741eCC4399FBcADD7ce485bd44bf62B9,1
0x6B92aD6a9ddaF70bA120F2e31f512ED17B00e06a,1
0xdf7F1c1b18FD44488EE60d885D9920929C6E1946,1
0x11D579235D6a43DFe646502A62dE35021C3D8F3C,1
0x89c1E603478F2dC68367F53c5a0eE663561ee499,1
0x1B143e63d24f66770dfF84F0f980c4845D670B95,5
0x07A10d89d094B4f4039eD7D9E016146ad1beaAf5,1
0xE389713a1A44631E81da71cf5f8Ca96f301df4f6,2
0x32cD56Ebf75E4275903E59c65E9bE7B1A5E05FF0,2
0x9142F22Bf0d82Cc1271ec0116a1491D349Eb7E24,5
0x223aa610D120D74E3f62b2943A3a1c3d147F4faC,1
0x3A79D73f80Bd7443e9d34f0a6456c6DC0d1A26A0,4
0xe02685E2353D58850b9d4ad1f85871620b2e36Cd,1
0xeD0EE91630bC027657dbb463e8569DDDCd100552,1
0xD2Fd6411Ff082ee737d08818A8ef0C81CE2d2969,1
0x175aecb6D95CEe2bF09112F1Ea00243962778353,1
0xE3f97aaf28f64528E470462BF04cdd1f57895F43,1
0x6D65482E6A2cE447232307ba322F3c779f4a2b5A,1
0xF26944251E46Efda9d7e2EE738510aAE5f049391,1
0xD313cCFd3AcBb4f47F0C6675eCBE1e055ff2E115,5
0xF5B645276F94aC765801BcD8E2962539F362e5B9,1
0xe71fe6c806e418cE24dB04a176CDbCdfd35bA3f3,1
0x6b36be4cD1D1E3d7afF4954F662A5418356672ed,4
0x774D20f397bEBbE09e94aF442abCF58e9487aF52,2
0x1c0eA8528A769200d111C11dB286c16684E121e4,2
0x1d9E6F6DfD05F2A8315c7088f6E8654CCF1FFf4A,4
0x7bDB256772Fdb02214f9dCF9803352876761D8E7,1
0x0E6CD72286FBc782b6e3F9C9cD9c7896cAb6911c,1
0x321c13D9B3f8e114DAF3f58a092faA6cc2E48B38,1
0x62E314b87c8E52e7315118cEb759383c5c4F7fC4,4
0x63fA6Db8Ae8d072237Ae6e39DDB695B9aE47221B,1
0x62C3ad95761E1Fcdb21Af2CCFac3B1Fc3b6eD316,2
0x1888b59760FA9832Db1bb8ab24e22715E6041329,1
0x4472240c5859d4f4a9D330834fe2568199EcFa27,1
0xe637332ee9AFb0230f9570a0Ae57b1DFb3616f50,2
0x7587921118061DCB0b1FaA4747E103CB0A940d1B,1
0xF97Ed13F8bf27e7bfCbeBD9ED1E306DA59ACb632,1
0xF2A1825542BBA63dE1D29909057152187B9ef23c,4
0x95b646486Fcb44d5A3b7ea18e60bcB4e633eFE0C,1
0xa261243641A535634447b17bc7A77deD172CdA2C,1
0xE15c4579966f5D02Eff8A892BE22F4a9C7EDd1c8,10
0x1D2c2A0F69c14083F3D81e705BD26C8C15a75bD1,3
0xD2127f7C994B0FD4cC1bEBb369A69764604319E2,1
0xd3E9a1405978A5c99EB82C321142e26C803fE57B,3
0x35c46d7187a00768d04841FA853d2dbF8Ba290EF,1
0x200C63B0A0417f70D583E10faDc35A68E92A1B95,1
0x976266BDbD23D8A9d9c926e753a8e229cbb3944F,1
0x6b646B1F8477248945A43431407D672e91c53F16,2
0x40A32dd91a366146C22eE5e2F1b344CfA3Fe41dA,1
0x20f38f72fE50F05e9C3Fa8DFED5EE64c691abFcD,1
0xf6BB1dB6BBc7D740Dd5A9bb1103de391fe85fFcc,4
0x0ebE7392aF02dD33D89047b0A95AC8C860e45912,14
0x464fCE9CC7FA79E8843Ad99dF3d7f3b41F7E00aF,4
0x82AF7C2617c0D7b7454C601F7F4B7e1e06EB866e,2
0xD7d311489Aa7F497dcbf35662a2fDE6aa59F10f8,2
0x4ab1c557443529eD2DaC5b0D715FDCc188C6CF93,2
0x53c3C78d8924e448493C6eC38655A6Ffc23F7dfd,4
0xF302a9Ae80EA4F7D6f141d36e24d752F4C34C463,1
0x2d17D3C87d6ca9710a0D0F44ddCBeC8e702A63D8,1
0xDFc2786c12febbeCEcD71Ab7ECd80178239b9B7F,1
0x3507983653173060AeFF04FE1b01B34a754C28CF,1
0x45F900809923AF3D595f3345506fc7D4bE39a84F,3
0xa73018C8c64D8b58f692da632255C8ac907C8d58,2
0xFeEbD2186ABAA11725be212F2D97Ff77807c9962,5
0x9D7F36f1aF5034b3fD6fC1A22575c471AE07f06c,1
0x557A56a89e3EcdEAD70A5b664D082052BbA0fe69,1
0x649F8b6D6838d52a5dDDc6c11a235D0bA26E6Ab9,2
0x7D003dB84a957d98E4dCb6466524C85f23757Dd5,3
0x609feccdB7AC2315455e0dda36F6EdAc18B707b7,2
0x916771fD53FB198FA7e5634b5130C4dCaeCa941b,2
0x09Cf6fc96399de650ca8e9cE44aa1a99B2466124,1
0x6130D315Fa09B0Ed85214B8cD68d2184B8DBdfcE,1
0xC1eC9B29d31BDFEB25D73864ea60B4AA8d231d50,2
0x016057661001F46be8FFFdf4F382f58eE704F9E2,1
0xccD7C3cC2bEa0ee7AdDC131A8FA0EE4bA5015691,1
0x81F9b242372fd10e3B52684cC72Ff8387D934b15,1
